Depth,Mud Weight (kg/m3)
176,1049.6799945815608
290,1090.4200076566106
677,1150.3299474199193
988,1139.5499706065425
1200,1150.3299474199193
1200,1150.3299474199193
1200,1150.3299474199193
1200,1150.3299474199193
1200,1270.1599598264002
1223,1260.57004932952
1717,1270.1599598264002
1774,1260.57004932952
1805,1270.1599598264002
2121,1290.529966124272
2379,1320.4900027454241
2602,1320.4900027454241
2720,1320.4900027454241
2720,1320.4900027454241
2720,1320.4900027454241
2720,1350.4400254743282
2720,1339.6600483014722
2750,1459.489941241032
2750,1449.9000307441522
2750,1440.310001619136
2959,1459.489941241032
3063,1459.489941241032
3063,1459.489941241032
3063,1459.489941241032
3106,1139.5499706065425
3333,1139.5499706065425
3338,1139.5499706065425
3461,1139.5499706065425
3467,1139.5499706065425
3635,1159.9199771440674
3708,1169.5100068682152
3827,1159.9199771440674
3893,1169.5100068682152
4015,1159.9199771440674
4208,1169.5100068682152
4208,1169.5100068682152
4343,1159.9199771440674
4438,1169.5100068682152
4489,1159.9199771440674
4592,1109.5900535721375
4713,1079.6400308432335
4882,1030.5099487858602
5071,1030.5099487858602
5071,1030.5099487858602
5240,1030.5099487858602
5326,1030.5099487858602
5351,1030.5099487858602
5580,1030.5099487858602
5780,1030.5099487858602
5831,1030.5099487858602
5851,1030.5099487858602
5874,1030.5099487858602
5878,1030.5099487858602
5942,1030.5099487858602
6145,1030.5099487858602
6183,1030.5099487858602
6183,1030.5099487858602
6183,1030.5099487858602
6229,1030.5099487858602
6280,1030.5099487858602
6280,1030.5099487858602
6280,1030.5099487858602
6280,1030.5099487858602
6280,1030.5099487858602
6280,1030.5099487858602
6280,1030.5099487858602
6280,1030.5099487858602
6280,1079.6400308432335
6280,1079.6400308432335
6280,1079.6400308432335
6280,1079.6400308432335
6280,1079.6400308432335
6280,1079.6400308432335
6280,1079.6400308432335
6280,1079.6400308432335
